date,amount,category,description
01-01-2024,50000,Income,Monthly Salary
03-01-2024,1500,Groceries,Supermarket shopping
05-01-2024,2000,Transport,Monthly bus pass
08-01-2024,800,Food,Fast food lunch
10-01-2024,1200,Entertainment,Movie night
12-01-2024,4500,Utilities,Electricity and water bill
15-01-2024,20000,Income,Freelance project
18-01-2024,950,Transport,Fuel for bike
20-01-2024,1600,Groceries,Vegetable market
22-01-2024,1100,Food,Dinner with friends
24-01-2024,600,Health,Vitamin supplements
25-01-2024,1000,Health,Pharmacy expenses
27-01-2024,5000,Shopping,Clothes and shoes
28-01-2024,700,Entertainment,Amusement park
30-01-2024,3000,Entertainment,Concert ticket
31-01-2024,4000,Savings,Monthly deposit
02-02-2024,50000,Income,Monthly Salary
04-02-2024,1700,Groceries,Big Bazaar
06-02-2024,2200,Food,Family dinner
07-02-2024,900,Food,Street food
10-02-2024,1800,Transport,Uber rides
11-02-2024,600,Entertainment,Online games
13-02-2024,1200,Health,Doctor visit
14-02-2024,1500,Gifts,Valentine's gift
15-02-2024,10000,Income,Stock dividends
16-02-2024,850,Transport,Auto fare
18-02-2024,1300,Shopping,Online purchase
19-02-2024,950,Utilities,Mobile recharge
20-02-2024,1500,Utilities,Internet bill
21-02-2024,750,Savings,Mutual fund SIP
22-02-2024,500,Health,Fitness supplements
25-02-2024,1000,Groceries,Grocery app order
28-02-2024,3200,Food,Café and snacks
29-02-2024,4500,Home,Plumber repair work
01-03-2024,50000,Income,Monthly Salary
03-03-2024,1800,Groceries,Monthly stock-up
05-03-2024,950,Food,Breakfast & snacks
06-03-2024,1200,Transport,Taxi fares
08-03-2024,1800,Entertainment,Stand-up comedy
10-03-2024,900,Health,Eye checkup
12-03-2024,1300,Utilities,Gas bill
14-03-2024,750,Savings,Recurring deposit
15-03-2024,15000,Income,Part-time tutoring
17-03-2024,2000,Home,Curtains and decor
20-03-2024,1600,Groceries,Weekly market
22-03-2024,1000,Food,Office lunch
24-03-2024,1800,Transport,Petrol refill
26-03-2024,800,Gifts,Friend's birthday
28-03-2024,2500,Shopping,Online sale
30-03-2024,3500,Entertainment,Theatre show
31-03-2024,5000,Savings,FD contribution

